Index,Date,Title,Outlets,Country,NATO_url
5,31.03.2018,Finns found a Ukrainian trace in the case of Skripal,"News Front, Utro.ru, Svobodnaya Pressa","UK, Russia, Ukraine, Finland",https://euvsdisinfo.eu/report/finns-found-a-ukrainian-trace-in-the-case-of-skripal-2/
6,29.03.2018,"After Skripal poisoning, the West now says that Russians are a nation of criminals","Vremya pokazhet @Pervyi kanal TV-channel, 46:10",Russia,https://euvsdisinfo.eu/report/the-west-began-calling-russia-the-nation-of-criminals/
7,28.03.2018,Dalia Grybauskaite was a double agent,rubaltic.ru,Lithuania,https://euvsdisinfo.eu/report/dalia-grybauskaite-agent-of-washington/
8,28.03.2018,Britain bans expressions like “what a beautiful girl” or “what a beautiful boy”,Georgia and World,"UK, Georgia",https://euvsdisinfo.eu/report/britain-bans-expressions-like-what-a-beautiful-girl-or-what-a-beautiful-boy/
9,28.03.2018,Kyiv admits Ukrainian parts in North Korea missile engines,RT,"North Korea, Ukraine",https://euvsdisinfo.eu/report/kyiv-admits-ukrainian-parts-in-north-korea-missile-engines/
0,27.03.2018,The expulsion of Russian diplomats means that the US has declared a New Cold War on Russia,"Vremya pokazhet @Pervyi kanal, 9:10","UK, Russia, US",https://euvsdisinfo.eu/report/the-expulsion-of-russian-diplomats-and-alleged-intelligence-officers-from-the-us-and-europe-means-that-the-us-and-uk-have-declared-a-new-cold-war-on-russia/
1,27.03.2018,The West has announced the expulsion of Russian diplomats to muffle the ‘remarkable victory of Russia’ in the Eastern Ghouta,"Vremya pokazhet @Pervyi kanal, 22:23",Russia,https://euvsdisinfo.eu/report/the-west-has-announced-the-expulsion-of-russian-diplomats-and-alleged-intelligence-officers-from-the-us-and-europe-to-muffle-the-remarkable-victory-of-russia-in-the-eastern-ghouta/
2,27.03.2018,The West punishes Russia for having chosen Putin as a president again,"Vremya pokazhet @Pervyi kanal, 24:39",Russia,https://euvsdisinfo.eu/report/the-expulsion-of-russian-diplomats-from-the-us-and-europe-is-a-punishment-imposed-on-russia-by-the-west-for-having-chosen-again-putin-as-a-president-of-it/
3,27.03.2018,Britain poisoned Skripal to overshadow other issues,Georgia and the World,"UK, Russia",https://euvsdisinfo.eu/report/britain-poisoned-skripal-to-overshadow-other-issues/
4,26.03.2018,The US and the UK are using Skripal case to start a Crusade against Russia,"Vremya pokazhet @Pervyi kanal, 1:55","UK, Russia, US",https://euvsdisinfo.eu/report/the-skripals-case-proves-that-the-us-and-uk-are-consolidating-western-countries-to-start-a-crusade-against-russia/
5,26.03.2018,Accepting Syrian refugees is the price for visa liberalisation,TV Obiektivi,Georgia,https://euvsdisinfo.eu/report/accepting-syrian-refugees-is-the-price-for-visa-liberalisation/
6,25.03.2018,"There has never been such a ""Novichok"" poisonous substance in the world",Vesti  Nedeli @Rossia 1’ TV-channel,"UK, Russia",https://euvsdisinfo.eu/report/theresa-may-demonstrates-british-rudeness-to-the-kremlin-and-lies-to-the-uks-parliament-because-the-program-for-development-of-novichok-agents-has-never-existed-in-russia/
7,25.03.2018,Foreign election monitors did not notice a big difference between the elections in the EU and in Russia,Vesti  Nedeli @Rossia 1,Russia,https://euvsdisinfo.eu/report/foreign-election-monitors-did-not-notice-a-big-difference-between-the-voting-in-the-eu-and-russia-and-are-saying-now-that-they-saw-no-violations-during-the-russian-presidential-elect/
8,25.03.2018,The attack on Skripal and his daughter was prepared by the West as a counter-Russian provocation,Aeronet.cz,"UK, Russia",https://euvsdisinfo.eu/report/the-attack-on-scripal-and-his-daughter-was-prepared-by-the-british-government-as-a-counter-russian-provocation/
9,24.03.2018,The Ukrainian government has decided to export Ukrainians’ blood,Vesti.ru,Ukraine,https://euvsdisinfo.eu/report/the-ukrainian-government-has-decided-to-export-ukrainians-blood/
0,23.03.2018,Theresa May said that Sharia law is superior to British law,Vlasteneckenoviny.cz,UK,https://euvsdisinfo.eu/report/theresa-may-said-that-sharia-law-is-superior-to-british-law/
1,21.03.2018,UK uses the Skripal case to become a leader of a new campaign of the West against Russia,"Vremya pokazhet @Pervyi kanal, 25:32","UK, Russia",https://euvsdisinfo.eu/report/the-poisoning-of-sergei-skripal-is-directed-personally-against-putin-and-is-an-attempt-made-by-the-uk-to-become-a-leader-in-a-new-crusade-of-the-west-against-russia/
2,21.03.2018,UK uses the Skripal case to prepare the Western society for a new Cold or even hot war against Russia,"Vremya pokazhet @Pervyi kanal, 49:48","UK, Russia",https://euvsdisinfo.eu/report/the-uk-has-poisoned-sergei-skripal-to-prepare-the-western-society-for-a-new-cold-or-even-hot-war-against-russia/
3,20.03.2018,A Soros-ally is causing a government crisis,Hídfő,Slovakia,https://euvsdisinfo.eu/report/a-soros-ally-is-causing-a-government-crisis/
4,20.03.2018,The West has no evidence for accusing Russia of using chemical weapons in the UK to poison Sergei Skripal,Vremya pokazhet @Pervyi kanal,"UK, Russia",https://euvsdisinfo.eu/report/the-west-has-got-no-evidences-when-accusing-russia-of-using-chemical-weapons-in-the-uk-to-poison-sergei-skripal/
5,19.03.2018,International observers impressed by the elections in Russia,Sputnik,Russia,https://euvsdisinfo.eu/report/international-observers-impressed-by-the-elections-in-russia/
6,19.03.2018,Emmanuel Macron congratulated Vladimir Putin on winning the presidential election,Kremlin.ru,"Russia, France",https://euvsdisinfo.eu/report/emmanuel-macron-congratulated-vladimir-putin-on-winning-the-presidential-election/
7,18.03.2018,Porton Down might be responsible for the chemical attack in the UK,Sputnik based on Russian ambassador to the UK interviewed on British TV,"UK, Russia",https://euvsdisinfo.eu/report/porton-down-might-be-responsible-for-the-chemical-attack-in-the-uk/
8,18.03.2018,Crimea reunited with Russia following a coup,RT,"Russia, Ukraine",https://euvsdisinfo.eu/report/crimea-reunited-with-russia-following-a-coup/
9,18.03.2018,Finnish election observer: Crimea is the most democratic place in the world,"Ria.ru, Interfax, Polit.info, Tass.ru","Russia, Ukraine, Finland",https://euvsdisinfo.eu/report/finnish-election-observer-crimea-is-the-most-democratic-place-in-the-world/
0,18.03.2018,"With the Skripal case UK aims to talk up the Russian threat and justify more troops in the Baltics, where the far right is busy rewriting history","Itogi Nedeli @NTV, 48:45","UK, Russia, Baltic states",https://euvsdisinfo.eu/report/via-the-skripal-case-uk-aims-to-talk-up-the-russian-threat-and-justify-more-troops-in-the-baltics-where-the-far-right-is-busy-rewriting-history/
1,18.03.2018,UK secret services/Ukraine/Exiled Russian oligarchs/hypothetical Browder all potential suspects behind Skripal poisoning,Vesti nedeli @Rossiya 1,"UK, Russia, Ukraine",https://euvsdisinfo.eu/report/uk-secret-services-ukraine-exiled-russian-oligarchs-hypothetical-browder-potential-suspects-behind-skripal-poisoning/
2,17.03.2018,"Novichok could have come from UK, Sweden, Czech Republic or Slovakia",Vesti,"Slovakia, Czech Republic, UK, Russia, Sweden",https://euvsdisinfo.eu/report/novichok-could-have-come-from-uk-sweden-czech-republic-or-slovakia/
3,17.03.2018,West uses Skripal case to harm Russia's reputation as a peacemaker,Rossiya 24,"UK, Russia, Syria",https://euvsdisinfo.eu/report/west-uses-skripal-case-to-harm-russias-reputation-as-a-peacemaker/
